city,total_jobs,core_digital_jobs,expanded_digital_jobs,core_digital_share,expanded_digital_share
STAVERN,6,0,0,0.0,0.0
STEINBERG,1,0,0,0.0,0.0
STEINKJER,33,4,4,0.12121212121212122,0.12121212121212122
STEINSLAND,2,0,0,0.0,0.0
STJØRDAL,25,0,0,0.0,0.0
STOKKE,8,0,0,0.0,0.0
STOKMARKNES,13,0,0,0.0,0.0
STOL,1,0,0,0.0,0.0
STONGLANDSEIDET,2,0,0,0.0,0.0
STORD,28,2,3,0.07142857142857142,0.10714285714285714
STORDAL,2,0,0,0.0,0.0
STOREBØ,3,0,0,0.0,0.0
STORSLETT,9,0,1,0.0,0.1111111111111111
STORSTEINNES,12,0,0,0.0,0.0
STORÅS,1,0,0,0.0,0.0
STRANDA,8,1,1,0.125,0.125
STRAUME,32,1,3,0.03125,0.09375
STRAUMSJØEN,2,0,0,0.0,0.0
STRYN,4,0,0,0.0,0.0
STRØMMEN,18,3,3,0.16666666666666666,0.16666666666666666
STÅRHEIM,1,0,0,0.0,0.0
STØREN,3,0,0,0.0,0.0
SUNDEBRU,2,0,1,0.0,0.5
SUNNDALSØRA,11,4,5,0.36363636363636365,0.45454545454545453
SURNADAL,7,0,0,0.0,0.0
SVARSTAD,5,0,0,0.0,0.0
SVARTNES,1,0,0,0.0,0.0
SVEIO,9,0,0,0.0,0.0
SVELVIK,1,0,0,0.0,0.0
SVINNDAL,1,0,0,0.0,0.0
SVOLVÆR,25,0,0,0.0,0.0
SVORKMO,1,0,0,0.0,0.0
SYKKYLVEN,3,0,0,0.0,0.0
SYVDE,2,0,0,0.0,0.0
SÆTRE,1,0,0,0.0,0.0
SÆVAREID,1,0,0,0.0,0.0
SÆVELANDSVIK,2,0,0,0.0,0.0
SØGNE,12,0,0,0.0,0.0
SØMNA,2,0,0,0.0,0.0
SØRBØVÅG,2,0,0,0.0,0.0
SØREIDGREND,9,0,0,0.0,0.0
SØRKJOSEN,1,0,1,0.0,1.0
SØRREISA,5,0,1,0.0,0.2
SØRUM,3,0,0,0.0,0.0
SØRUMSAND,3,0,0,0.0,0.0
SØRVÅGEN,2,0,0,0.0,0.0
SØVIK,4,0,0,0.0,0.0
TAFJORD,2,0,0,0.0,0.0
TANA,10,0,0,0.0,0.0
TANANGER,15,1,2,0.06666666666666667,0.13333333333333333
TAU,6,2,4,0.3333333333333333,0.6666666666666666
TENNEVOLL,4,0,0,0.0,0.0
TENNFJORD,2,1,1,0.5,0.5
TERRÅK,1,0,0,0.0,0.0
TERTNES,2,0,0,0.0,0.0
TESSANDEN,1,0,1,0.0,1.0
TILLER,28,2,2,0.07142857142857142,0.07142857142857142
TINGVATN,1,0,0,0.0,0.0
TINGVOLL,4,0,0,0.0,0.0
TISLEIDALEN,1,0,0,0.0,0.0
TISTEDAL,1,0,0,0.0,0.0
TJØME,1,0,0,0.0,0.0
TJØTTA,1,0,0,0.0,0.0
TOFTE,1,0,0,0.0,0.0
TOLGA,4,1,1,0.25,0.25
TOLVSRØD,1,0,0,0.0,0.0
TOMASJORD,4,0,0,0.0,0.0
TOMTER,3,1,1,0.3333333333333333,0.3333333333333333
TONSTAD,2,0,0,0.0,0.0
TORANGSVÅG,1,0,0,0.0,0.0
TORP,2,0,0,0.0,0.0
TORSKEN,1,0,0,0.0,0.0
TORVASTAD,1,0,0,0.0,0.0
TRANBY,17,3,7,0.17647058823529413,0.4117647058823529
TRETTEN,5,0,1,0.0,0.2
TREUNGEN,4,0,0,0.0,0.0
TROFORS,2,0,0,0.0,0.0
TROLLÅSEN,3,2,2,0.6666666666666666,0.6666666666666666
TROMSDALEN,20,0,0,0.0,0.0
TROMSØ,200,13,22,0.065,0.11
TRONDHEIM,417,66,90,0.15827338129496402,0.2158273381294964
TRYSIL,3,0,1,0.0,0.3333333333333333
TRÆNA,5,0,0,0.0,0.0
TRØGSTAD,3,0,0,0.0,0.0
TVEDESTRAND,5,0,0,0.0,0.0
TVERLANDET,3,0,0,0.0,0.0
TYDAL,4,1,1,0.25,0.25
TYNSET,9,2,2,0.2222222222222222,0.2222222222222222
TYSNES,2,0,0,0.0,0.0
TYSSE,2,0,0,0.0,0.0
TYSSEBOTNEN,1,0,1,0.0,1.0
TYSSEDAL,3,1,1,0.3333333333333333,0.3333333333333333
TYSVÆRVÅG,1,0,0,0.0,0.0
TÅRNÅSEN,1,0,0,0.0,0.0
TØNSBERG,81,9,11,0.1111111111111111,0.13580246913580246
UGGDAL,3,0,0,0.0,0.0
ULEFOSS,1,0,0,0.0,0.0
ULSET,8,0,0,0.0,0.0
ULSTEINVIK,9,2,2,0.2222222222222222,0.2222222222222222
ULVIK,2,0,0,0.0,0.0
UNDHEIM,5,0,5,0.0,1.0
USKEDALEN,1,0,0,0.0,0.0
VADSØ,22,2,3,0.09090909090909091,0.13636363636363635
VAKSDAL,1,0,0,0.0,0.0
VALDERØYA,2,0,0,0.0,0.0
VALESTRANDSFOSSEN,2,0,0,0.0,0.0
VALLDAL,4,0,0,0.0,0.0
VALLE,1,0,0,0.0,0.0
VALNESFJORD,1,1,1,1.0,1.0
VANG I VALDRES,1,0,0,0.0,0.0
VANNVÅG,1,0,0,0.0,0.0
VANSE,4,0,0,0.0,0.0
VARALDSØY,1,0,0,0.0,0.0
VARANGERBOTN,1,0,0,0.0,0.0
VARDØ,8,0,0,0.0,0.0
VARHAUG,6,2,2,0.3333333333333333,0.3333333333333333
VARTDAL,4,0,1,0.0,0.25
VASSENDEN,1,0,0,0.0,0.0
VASSØY,1,0,0,0.0,0.0
VEAVÅGEN,2,0,0,0.0,0.0
VEGÅRSHEI,1,0,0,0.0,0.0
VENNESLA,6,0,0,0.0,0.0
VERDAL,15,0,0,0.0,0.0
VESTBY,33,2,4,0.06060606060606061,0.12121212121212122
VESTERØY,1,0,0,0.0,0.0
VESTFOSSEN,1,0,0,0.0,0.0
VESTNES,3,0,0,0.0,0.0
VESTRE GAUSDAL,1,0,0,0.0,0.0
VESTRE JAKOBSELV,2,0,0,0.0,0.0
VETTRE,5,1,1,0.2,0.2
VIGRA,4,0,0,0.0,0.0
VIK I SOGN,4,0,2,0.0,0.5
VIKEDAL,1,0,0,0.0,0.0
VIKERSUND,9,0,1,0.0,0.1111111111111111
VINJE,3,0,0,0.0,0.0
VINSTRA,5,0,0,0.0,0.0
VINTERBRO,10,0,0,0.0,0.0
VOLDA,14,0,1,0.0,0.07142857142857142
VOLL,2,0,0,0.0,0.0
VORMEDAL,4,0,0,0.0,0.0
VORMSUND,3,0,0,0.0,0.0
VOSS,27,1,1,0.037037037037037035,0.037037037037037035
VOSSESTRAND,2,0,0,0.0,0.0
VÅGAHOLMEN,3,0,0,0.0,0.0
VÅLER I SOLØR,1,0,0,0.0,0.0
VÅLER I ØSTFOLD,3,0,0,0.0,0.0
VÆRØY,2,0,0,0.0,0.0
VØYENENGA,1,0,1,0.0,1.0
YTRE ARNA,5,0,1,0.0,0.2
YTRE ENEBAKK,2,0,0,0.0,0.0
ÅFJORD,3,1,1,0.3333333333333333,0.3333333333333333
ÅGOTNES,7,0,1,0.0,0.14285714285714285
ÅHEIM,1,0,1,0.0,1.0
ÅKREHAMN,6,0,0,0.0,0.0
ÅL,6,0,0,0.0,0.0
ÅLEN,1,0,0,0.0,0.0
ÅLESUND,138,7,16,0.050724637681159424,0.11594202898550725
ÅLGÅRD,6,0,0,0.0,0.0
ÅLVIK,2,0,0,0.0,0.0
ÅMLI,2,0,0,0.0,0.0
ÅMOT,5,0,0,0.0,0.0
ÅNDALSNES,9,1,1,0.1111111111111111,0.1111111111111111
ÅRDAL I RYFYLKE,1,0,0,0.0,0.0
ÅRDALSTANGEN,4,0,0,0.0,0.0
ÅRLAND,1,0,0,0.0,0.0
ÅRNES,4,1,1,0.25,0.25
ÅROS,1,0,0,0.0,0.0
ÅS,28,1,1,0.03571428571428571,0.03571428571428571
ÅSEN,1,0,0,0.0,0.0
ÅSERAL,6,0,0,0.0,0.0
ÅSGREINA,1,0,0,0.0,0.0
ÅSGÅRDSTRAND,1,0,0,0.0,0.0
ØKSFJORD,3,0,0,0.0,0.0
ØLEN,11,0,0,0.0,0.0
ØLENSVÅG,3,0,1,0.0,0.3333333333333333
ØLVE,2,0,0,0.0,0.0
ØRNES,8,0,0,0.0,0.0
ØRSKOG,2,0,0,0.0,0.0
ØRSTA,9,0,0,0.0,0.0
ØSTERÅS,3,0,0,0.0,0.0
ØSTRE GAUSDAL,4,0,0,0.0,0.0
ØVERBYGD,5,1,1,0.2,0.2
ØVRE ERVIK,1,0,0,0.0,0.0
ØVRE VATS,1,0,1,0.0,1.0
ØVRE ÅRDAL,1,0,0,0.0,0.0
ØVREBØ,1,0,0,0.0,0.0
ØYER,11,0,0,0.0,0.0
ØYSTESE,1,0,0,0.0,0.0
